id,agent_id,agent_guid,task_guid,model_name,tokens_in,tokens_out,total_tokens,start_time,end_time,status,meta_data,create_date
1,0,cb2b0121-d0cd-4948-a754-fd9c7b179fd0,64f18fb9-f06d-488b-a966-f96300dc3861,models/gemini-2.0-flash-lite,17330,263,17507,35.1326,37.8298,1,null,2025-05-06 04:23:04
2,0,cb2b0121-d0cd-4948-a754-fd9c7b179fd0,d54c8704-fdc0-438b-889c-3138424f1f9a,models/gemini-2.0-flash-lite,3549,324,3863,18.8187,21.5519,1,null,2025-05-06 04:25:04
3,0,cb2b0121-d0cd-4948-a754-fd9c7b179fd0,d54c8704-fdc0-438b-889c-3138424f1f9a,models/gemini-2.0-flash-lite,3549,293,3832,6.32871,8.73309,1,null,2025-05-06 04:26:13
4,0,1168a2d8-c590-45dc-b9c4-fa49084a3f13,64f18fb9-f06d-488b-a966-f96300dc3861,models/gemini-2.0-flash-lite,17308,128,17350,11.2538,13.1588,1,null,2025-05-06 05:25:12
5,0,1168a2d8-c590-45dc-b9c4-fa49084a3f13,d54c8704-fdc0-438b-889c-3138424f1f9a,models/gemini-2.0-flash-lite,3527,142,3659,12.9802,14.4439,1,null,2025-05-06 05:30:33
6,1000,cb2b0121-d0cd-4948-a754-fd9c7b179fd0,aeb4d6d9-e848-4e05-a1bb-70f07fa8dc14,models/gemini-2.0-flash-lite,12922,167,13032,7.39189,9.34099,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2015-D-1211/FDA-2015-D-1211-0147/FDA-2015-D-1211-0147-guidance.pdf"", ""country"": ""USA"", ""doc_type"": ""Other"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2015-D-1211"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2015-D-1211-0147"", ""__num_paragraphs__"": 3, ""__document_heading__"": ""Health and Human Services or Food and Drug Administration""}",2025-05-06 06:53:09
7,1005,1168a2d8-c590-45dc-b9c4-fa49084a3f13,aeb4d6d9-e848-4e05-a1bb-70f07fa8dc14,models/gemini-2.0-flash-lite,12903,146,12992,250.175,252.056,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2015-D-1211/FDA-2015-D-1211-0147/FDA-2015-D-1211-0147-guidance.pdf"", ""country"": ""USA"", ""doc_type"": ""Other"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2015-D-1211"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2015-D-1211-0147"", ""__document_heading__"": ""Health and Human Services or Food and Drug Administration""}",2025-05-06 06:56:48
8,1002,ce5c8e03-44f2-46ac-a3be-92da57b243f9,aeb4d6d9-e848-4e05-a1bb-70f07fa8dc14,models/gemini-2.0-flash-lite,12948,5888,18791,312.884,344.003,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2015-D-1211/FDA-2015-D-1211-0147/FDA-2015-D-1211-0147-guidance.pdf"", ""country"": ""USA"", ""doc_type"": ""Other"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2015-D-1211"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2015-D-1211-0147""}",2025-05-06 06:58:20
9,1002,ce5c8e03-44f2-46ac-a3be-92da57b243f9,64f18fb9-f06d-488b-a966-f96300dc3861,models/gemini-2.0-flash-lite,17353,4338,21617,17.2272,40.6326,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2015-D-1211/FDA-2015-D-1211-0099/FDA-2015-D-1211-0099-guidance.pdf"", ""country"": ""USA"", ""doc_type"": ""Other"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2015-D-1211"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2015-D-1211-0099""}",2025-05-06 07:01:22
10,1002,ce5c8e03-44f2-46ac-a3be-92da57b243f9,d54c8704-fdc0-438b-889c-3138424f1f9a,models/gemini-2.0-flash-lite,3572,816,4390,8.8732,13.959,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2021-N-0862/FDA-2021-N-0862-0235.pdf"", ""country"": ""USA"", ""doc_type"": ""Rule"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2021-N-0862"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2021-N-0862-0235""}",2025-05-06 07:06:25
11,1001,bc1baaf5-caee-4b07-bda8-95c130cec43a,d54c8704-fdc0-438b-889c-3138424f1f9a,models/gemini-2.0-flash-lite,3560,149,3724,299.489,301.108,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2021-N-0862/FDA-2021-N-0862-0235.pdf"", ""country"": ""USA"", ""doc_type"": ""Rule"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2021-N-0862"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2021-N-0862-0235"", ""__document_heading__"": ""Health and Human Services or Food and Drug Administration""}",2025-05-06 07:11:12
12,1002,ce5c8e03-44f2-46ac-a3be-92da57b243f9,64f18fb9-f06d-488b-a966-f96300dc3861,models/gemini-2.0-flash-lite,17353,1946,19225,54.7315,66.221,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2015-D-1211/FDA-2015-D-1211-0099/FDA-2015-D-1211-0099-guidance.pdf"", ""country"": ""USA"", ""doc_type"": ""Other"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2015-D-1211"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2015-D-1211-0099""}",2025-05-06 07:14:07
13,1002,ce5c8e03-44f2-46ac-a3be-92da57b243f9,aeb4d6d9-e848-4e05-a1bb-70f07fa8dc14,models/gemini-2.0-flash-lite,12948,1195,14098,8.39016,15.3656,1,"{""aws_key"": ""USA/FDA/CONTENT/FDA-2015-D-1211/FDA-2015-D-1211-0147/FDA-2015-D-1211-0147-guidance.pdf"", ""country"": ""USA"", ""doc_type"": ""Other"", ""agency_id"": ""FDA"", ""docket_id"": ""FDA-2015-D-1211"", ""aws_bucket"": ""lexim-ai-dev"", ""document_id"": ""FDA-2015-D-1211-0147""}",2025-05-06 07:21:46
